"file_name","section_number","a_Otsikko","b_Nykyinen_sisalto","c_Paivitystarve","d_Viittaus_uuteen_lakiin"
"103638","5","5.1 Suunnittelun lähtökohdat","Jätetilan suunnittelussa ensimmäinen vaihe on keräystavan valinta ja keräysväli- neiden mitoitus asuinkiinteistön tarpeisiin. Asuinkiinteistöillä keräystapoja ovat pintakeräys, jossa käytetään käsin siirrettäviä jäteastioita, etulastaussäiliöitä ja nos- toperusteisia pintasäiliöitä sekä syväkeräys, joka toteutetaan nostoperusteisilla syväkeräyssäiliöillä. Sallitut keräystavat ja keräysvälineet on mainittu kunnan jäte- huoltomääräyksissä. Joillakin alueilla jätteiden keräys on voitu järjestää keskitetysti korttelikeräyksenä tai putkikeräysjärjestelmänä. Mikäli tiettyjen jätteiden keräys on järjestetty keskitetysti, ei siihen kuuluvilla kiinteistöllä ole omaa keräysvälinettä. Kes- kitetysti järjestetyistä keräyksistä on määräykset yleensä alueen rakennustapaohjees- sa tai asemakaavassa ja niihin liittyminen on pakollista.
Jätetilan suunnittelussa on huomioitava:
• sijainti,
• tyhjennyskalusto,
jätetilan ja keräysvälineiden mitoitus,
• helppokäyttöisyys,
• esteettömyys,
• työturvallisuus ja
paloturvallisuus.
Jätetilaa suunniteltaessa täytyy huomioida myös
kunnan jätehuoltomääräykset,
• paloturvallisuusmääräykset,
vakuutusyhtiöiden paloturvallisuuden suojeluohjeet sekä
kunnan kaavamääräykset ja rakennusjärjestys.
Toimiva jätetila on
riittävän tilava, jotta sinne mahtuvat tarvittavat jäteastiat eri jätejakeille. Jäteastia täytyy pystyä tyhjentämään muita jäteastioita siirtämättä.
riittävän korkea. Rakenteet ja tekniset laitteet on lähtökohtaisesti sijoitettu siten, että tilaa voi käyttää ilman kumartumista.
valaistu. Myös jäteastioiden siirtoväylien tulee olla valaistuja.
varusteltu riittävän leveällä ja tukevarakenteisella ovella. Ovet tulisi varustaa lait- teella, jolla ovet pysyvät auki. Oven on toimittava siten, että myös liikkumisesteinen henkilö voi avata sen helposti. Oviaukon tulisi olla vähintään 40 cm leveämpi kuin suurin jäteastia.
alustaltaan kovapohjainen, tasainen, vaakasuora ja luistamaton. Jätepisteessä ja siirtoväylällä ei ole kynnystä tai portaita.
merkitty opastekyltillä sekä kiinteistön osoitteella.
• lajittelua helpottava. Lajitteluohjeiden sijoittaminen huomioidaan suunnittelussa. turvallinen käyttää ja sinne on esteetön kulkuyhteys. Jos kulkuväylälle tarvitaan luiska, sen kaltevuus saa olla enintään 5%. Jätetilalle johtavan väylän huollosta on huolehdittu ja liukkaudentorjunta on kunnossa.
työturvallinen.
• suojattu haittaeläimiltä esimerkiksi verkoin.
tarvittaessa lukittu kaksoispesälukolla tai putkilukolla, joka aukeaa jätehuollon yleisavaimella. Jätetila aukeaa sisäpuolelta ilman avainta. Kunnan jätehuoltomää- räyksissä on voitu antaa tarkempia määräyksiä lukituksesta.","Uuden lain 127 §:n mukaan rakentamishankkeeseen ryhtyvän on huolehdittava kiinteistön jätehuollon edellyttämien tilojen ja rakennelmien järjestämisestä rakentamisen yhteydessä. Jätehuolto ei saa aiheuttaa haittaa terveydelle, turvallisuudelle eikä ympäristölle. Tämä edellyttää, että jätetilan suunnittelussa otetaan huomioon myös ympäristövaikutukset ja terveysturvallisuus, mikä ei ole selkeästi mainittu vanhassa ohjeessa.","127 § Jätehuolto"
"103638","6","5.2 Jätetilan sijainti","Jätetila on tarkoitettu kiinteistöstä kertyvän jätteen keräykseen ja jätteiden lyhytai- kaiseen varastointiin niille varatuissa keräysvälineissä. Se on useimmiten aitaus, katos, huone tai astiasuoja. Kiinteistön jätetilalle valitaan sijainti, joka on turvallinen sekä toimiva ja jossa jätteiden keräyksestä ja kuljetuksesta ei aiheudu haittaa tai vaaraa kiinteistön muulle käytölle, liikenteelle, ympäristölle tai tyhjentäjälle. Suositus on, että jätetila sijoitetaan asukkaiden luontevan kulkureitin varrelle, tonttiliittymän välittö- mään läheisyyteen, lähelle ajotietä. Tällöin pääsy jäteastioille on helppoa niin asuk- kaille kuin jätteenkuljettajalle, eivätkä keräys ja kuljetus aiheuta turhaa liikennöintiä kiinteistöllä.
PAKKAUKSET
Kuva 8 ja 9. Taloyhtiön jätekatoksia.
KERAYS KARTONKI
A
TP/kesäkuu 2023/Rakennustieto Oy Rakennustietosäätiö RTS sr 2023
Rivi- ja kerrostaloissa jätetilan etäisyydeksi ikkunoista ja parvekkeista suositellaan vä- hintään 8 metriä. Jätetila sijoitetaan riittävän etäisyyden päähän leikki- ja oleskelualu- eista. Suositeltava etäisyys on vähintään 15 metriä. Sijoituksessa otetaan huomioon myös tyhjennyksen aiheuttama melu.
Suurissa kiinteistöissä on usein tarkoituksenmukaista käyttää useita jätetiloja, jol- loin jätteiden kuljetusmatka ei muodostu kenellekään kohtuuttoman pitkäksi. Yhdes- sä suuressa jätetilassa ongelmaksi voi muodostua myös ovea lähimpien jäteastioiden ylitäyttyminen.
Lähekkäin sijaitsevat kiinteistöt voivat sopia yhteisten jäteastioiden (kimppa-as- tioiden) käytöstä. Yhteisastiaa voidaan käyttää sekä sekalaisen yhdyskuntajätteen että erilaisten hyötyjätelajien keräämiseen. Kuntien jätehuoltomääräyksistä löytyy tarkemmat ohjeet yhteisten keräysastioiden käytöstä.","Uuden lain 127 §:n mukaan rakentamishankkeeseen ryhtyvän on huolehdittava kiinteistön jätehuollon edellyttämien tilojen ja rakennelmien järjestämisestä rakentamisen yhteydessä. Jätehuolto ei saa aiheuttaa haittaa terveydelle, turvallisuudelle eikä ympäristölle. Tämä edellyttää, että jätetilan sijainti ja järjestelyt tarkistetaan vastaamaan uusia vaatimuksia, erityisesti terveydelle ja turvallisuudelle aiheutuvien haittojen osalta.","127 § Jätehuolto"
"103638","7","5.3. Tyhjennyskaluston asettamat vaatimukset","Jäteauto pääsee esteettömästi kiinteistön jätteiden keräysvälineille, kun jätetila on sijoitettu tonttiliittymän läheisyyteen, mahdollisimman lähelle ajorataa. Tällöin tyhjennys ei aiheuta tarpeetonta häiriötä ja pihan turvallisuus ei vaarannu. Mikäli jätteiden keräysvälineet sijoitetaan pihaan, jäteauton ajoväylä ei saa kulkea leikkialueella. Suositus on, että jäteautolle olisi kiinteistöllä riittävän tilava kääntymispaikka (kuva 10), jotta jäteauton ei tarvitse peruuttaa pihalla. Mikäli tämä ei ole mahdollista, tulisi jätetila sijoittaa siten, että peruutusmatka jää mahdollisimman lyhyeksi. Jätetilan sijoitus ja jätteiden kuormaus piha-alueella on järjestettävä siten, ettei niistä aiheudu häiriötä tai vaaraa asumiselle ja piha-alueen muulle käytölle. Tarvittaessa jätetilan eteen kadulle asetetaan pysäköinnin kieltävä merkki.
4 m
4 m
20 m
Kuva 10. Jäteauton kulkureitin mitat kiinteistöllä.
20 m
Jäteauton reitti kiinteistöllä suunnitellaan kantamaan liikenne täysin kuormatulla jäteautolla, jonka paino voi olla jopa 30 tn. Väylän kaltevuus ei saa ylittää 1:7.
Jäteauton tarvitsema ajoväylän leveys on vähintään 4 metriä, kaarteissa 4 metriä ja vapaa kulkukorkeus 4,4 metriä. Myös vaihtolava-auto mahtuu liikennöimään jäteauton käyttöön mitoitetussa ajoväylässä. Jos ajoväylä on kapeampi tai matalampi, on jäteastioiden oltava käsin siirrettäviä. Kääntyäkseen jäteauto tarvitsee halkaisijaltaan vähintään 20 metrin alueen. Kuvassa 11 on esitetty jäteautojen kääntösäteitä.
etukuormaaja kaartosäde
R ulko 8748
pieni takaa kuormattava kaartosäde
Rulko 8308
Jäteauton kulkuväylät tulee mitoittaa riittävän leveiksi, koska tyhjennyskalusto voi vaihtua ja uusi jäteauto voi vaatia suuremman kulkuväylän.
Rin 3008
Rin 4008
Rin 3886
Kuva 11. Jäteautojen kääntösäteitä.
TP/kesäkuu 2023/Rakennustieto Oy Rakennustietosäätiö RTS sr 2023
suurempi takaa kuormattava kaartosäde R ulko 7560
Etukuormaajalla varustetun jäteauton tulee päästä lähestymään jätesäiliötä suorassa linjassa. Säiliö nostetaan varsien avulla ajoneuvon ohjaamon yli (kuva 25) ja tyhjennetään jäteauton puristinsäiliön yläpuolelta. Etukuormaajalla tapahtuva tyhjennys vaatii vapaata korkeustilaa vähintään 8 metriä. Korkeustilaa tarvitaan vähintään 8 metriä myös tyhjennettäessä vaihtolava koukkulaitteistolla varustetulla vaihtolava-autolla
Syväkeräyssäiliöt tyhjennetään nosturin avulla (kuva 12) joko takalastattavaan jäteautoon tai nosturiauton lavalle. Jäteautolle tulee olla tasainen ja kovapohjainen kuormauspaikka sekä riittävästi tilaa, jotta auto pääsee sujuvasti tyhjennyspaikalle ja tyhjennys voidaan suorittaa vaivattomasti ja turvallisesti. Mikäli kuormaustilanteessa joudutaan ajoneuvossa käyttämään tukijalkoja, suositeltava kuormausalueen leveys on 5 metriä.
Syväkeräyssäiliön ympärillä on oltava riittävästi tilaa, jotta jäteauto pääsee riittävän lähelle syväkeräyssäiliötä siten, että tyhjennysauton puomi ylettyy säiliöön. Suositus on, että syväkeräyssäiliöiden ympärille jätetään vähintään 2 metriä vapaata tilaa, mihin ei sijoiteta mitään kasvillisuutta, aitoja, valaisintolppia, autonlämmitystolppia tai muita kiinteitä rakenteita. Tyhjennyskalusto vaihtelee alueittain, joten on tärkeää selvittää alueella käytössä oleva kalusto ja sen asettamat vaatimukset syväkeräyssäiliöiden tyhjennysetäisyydelle.
Syväkeräyssäiliön yläpuolelle tulisi jäädä vapaata korkeustilaa vähintään 8 metriä huomioiden räystäät, korkeat valaisintolpat, muut rakenteet sekä oksat. Syväkeräyssäiliöiden yläpuolella tai läheisyydessä ei saa olla sähköjohtoja tai kaapeleita. Erityistapauksissa säiliöiden ja jäteauton välissä voi olla aitaa, pensaita tai kapea ruohoalue. Aidan tai pensaiden korkeus voi olla korkeintaan 1 200 mm, jotta kuljettajalla säilyy näköyhteys jätesäiliöihin. Tyhjentäjällä on oltava myös talvioloissa käytettävissä oleva kulkuväylä autolta säiliölle.
Tyhjennyksen yhteydessä tyhjennyssäkki voi liikkua jonkin verran, jolloin syväkeräyssäiliöiden välittömässä läheisyydessä ei tulisi olla helposti rikkoontuvia rakenteita, kuten rännejä. Myöskään kookkaiksi kasvavia istutuksia ei tulisi sijoittaa syväkeräyssäiliöiden läheisyyteen. Säkistä saattaa myös valua nesteitä, joten säiliöitä ei tule sijoittaa siten, että nosto joudutaan tekemään leikkipaikan, paikoitettujen ajoneuvojen, ojan tai kevyen liikenteen väylän yli.
Syväkeräyssäiliöiden sijoittamiseen vaikuttavat myös maanalaiset putket ja kaapelit sekä pohjaveden pinnan korkeus.
Kuva 12. Syväkeräyssäiliön tyhjennys takaa lastattavaan jäteautoon.
TP/kesäkuu 2023/Rakennustieto Oy Rakennustietosäätiö RTS sr 2023
Ajoväylien mitoituksesta esitetään ohjeita RT 98-11214 Ajoväylät, hitaasti liikennöitävät. Ajoneuvojen mittoja esitetään ohjeessa RT 98-11213 Ajoneuvojen mittoja.","Uuden lain 127 §:n mukaan rakentamishankkeeseen ryhtyvän on huolehdittava kiinteistön jätehuollon edellyttämien tilojen ja rakennelmien järjestämisestä rakentamisen yhteydessä. Jätehuolto ei saa aiheuttaa haittaa terveydelle, turvallisuudelle eikä ympäristölle. Tämä edellyttää, että jäteauton kulkureitit ja jätteiden keräysvälineiden sijoitus on suunniteltava siten, että ne täyttävät nämä vaatimukset.","127 § Jätehuolto"
"103638","8","5.4 Paloturvallisuus","Jätteiden keräyspaikkojen suunnittelussa ja sijoittamisessa tulee kiinnittää huomiota paloturvallisuuteen ja ilkivallan estämiseen.
Jätetilan paloturvallisuutta edistävät:
riittävä etäisyys jätetilan ja rakennuksen sekä autokatoksen välillä, • umpinaiset ulkoseinät sekä
ulkona olevan jätetilan aitaaminen ja lukitseminen niin, että asiattomien pääsy estetään.
Rakennukseen kiinteästi liittyvän jätteiden jätetilan (jätehuoneen, -katoksen, -astia- suojan) osastoinnissa noudatetaan ympäristöministeriön asetusta (848/2017) rakennus- ten paloturvallisuudesta. Rakennuksesta erillään olevan jätetilan paloturvallisuudesta antaa ohjeita pelastusviranomainen. Opas SPEK opastaa 17: Pihan jäteastiat ja tuho- polttojen torjunta (2020) sisältää myös ohjeita paloturvallisen jätetilan suunnitteluun.
Suositus on, että jäteastiaryhmät, pahvirullakot sekä 2-4 metriä leveät ja korkeat jäteastiasuojat sijoitetaan vähintään 6 metrin turvaetäisyydelle aukollisesta seinästä. Palavista materiaaleista tehdyt, palo-osastoimattomat jätekatokset, 4-6 metriä leve- ät ja korkeat jäteastiasuojat sekä palavaa materiaalia sisältävät jätelavat suositellaan sijoitettavaksi vähintään 8 metrin turvaetäisyydelle aukollisesta seinästä. Yksittäiset 120-660 I jäteastiat, metalliset jäteastiat ja syväkeräyssäiliöt suositellaan sijoitetta- vaksi vähintään 4 metrin turvaetäisyydelle aukollisesta seinästä.
A
D
E
C
B
Kuva 13. Palo voi levitä roska-astiasta (C) rakennukseen säteilemällä (D) ja kuumien kaasujen ja hiukkasten välityksellä (E). Tästä syystä turvaetäisyydet on arvioitava pystysuuntaisesti (A) ja vaakasuuntaisesti (B).
TP/kesäkuu 2023/Rakennustieto Oy Rakennustietosäätiö RTS sr 2023
Tarkista aina myös kiinteistön vakuuttaneen vakuutusyhtiön paloturvallisuusmääräykset.
Kuva 14. Paloturvallisilla jäteastiasuojilla toteutettu jätetila taloyhtiön sisäpihalle.
Kuva 15. Taloyhtiön jätetila, Helsinki. Toteutettu paloturvallisil- la astiasuojilla ahtaalle sisäpihalle ja porttikongiin.
Suositus on, että jäteastiat sijoitetaan aina kauas rakennuksista ja autokatoksista nou- dattaen aukollisen seinän vähimmäisturvaetäisyyksiä. Mikäli rakennuksen seinä on kuitenkin vaatimusten mukaisesti osastoitu ja aukoton, voidaan turvaetäisyys laskea korkeussuunnassa. Tällöin on huolehdittava siitä, että tuli ei pääse leviämään ylöspäin rakennuksen räystäsrakenteisiin. Jäteastiat ja syväkeräyssäiliöt tulisi sijoittaa vähin- tään 8 metrin ja jätekatokset sekä jätelavat vähintään 11 metrin turvaetäisyydelle mitattuna korkeussuunnassa jäteastian tasosta rakennuksen räystäslinjaan.
Jos edellä mainitut turvaetäisyydet eivät täyty, on palon leviäminen rakennukseen estettävä rakenteellisin keinoin, kuten palo-osastoimalla jätekatos. Myös palo-osas- toitujen jäteastioiden tai jäteastian päälle asetettavien osastoivien kuorien käyttö on mahdollista. Käytettäessä palo-osastoituja jäteastioita tai astiasuojia tulee varmistaa, että ne on asianmukaisesti testattu ja testauksesta on olemassa hyväksytyn tarkas- tuslaitoksen todistus.
Jäteastioiden sijoittamisessa tulee lisäksi huomioida, että seka- ja biojäteastioiden etäisyyden rakennuksen ilmanottoaukoista tulee olla vähintään 8 metriä. Lisäksi tulee huomioida syväkeräyssäiliöiden, etulastauskonttien ja vaihtolavojen tyhjennyksen vaatima tila.
Helposti syttyvää materiaalia tai muuta tavaraa ei saa säilyttää rakennuksen välittö- mässä läheisyydessä niin, että siitä aiheutuu tulipalon syttymisen tai leviämisen vaa- raa tai että tulipalon sammuttaminen vaikeutuu (Pelastuslaki 379/2011 9.2 §). Jätetilaa ei siis tulisi käyttää muuna varastona ja jätteiden tulisi mahtua jäteastioihin. Jätetilaa suositellaan myös lukittavaksi ja useammat vakuutusyhtiöt edellyttävät lukitusta.","Uuden lain 32 §:n mukaan rakennuksen paloturvallisuus on suunniteltava ja rakennettava siten, että palon syttymisen vaaraa rajoitetaan ja kantavat rakenteet kestävät palon sattuessa vähimmäisajan. Tämä edellyttää, että jätetilojen paloturvallisuudessa otetaan huomioon myös rakennuksen kantavien rakenteiden kestävyys palotilanteessa, mikä ei ole mainittu vanhassa ohjeessa.","32 § Paloturvallisuus"
"103638","9","5.5 Jätetila","Jätteiden keräysvälineet sijoitetaan jätehuoneeseen, -katokseen, -aitaukseen tai -as- tiasuojaan tai muuhun kiinteistöllä niille varattuun paikkaan. Jätetila ei saa aiheuttaa haittaa naapureille, eikä rumentaa ympäristöä. Monissa kunnissa jätekatoksille, ra- kennelmille ja aitauksille tarvitaan toimenpidelupa. Luvantarve selvitetään suunnit- telun alkuvaiheessa kunnan rakennusvalvonnasta.
Jätetilaan suunnitellaan paikka, esimerkiksi kiinnitystaulu, lajitteluohjeille sekä tiedotus- ja neuvontamateriaalille. Jätetilaa ei tulisi käyttää muuna varastona. Kun- nallisissa jätehuoltomääräyksissä on voitu antaa määräyksiä jätetilan sijoittamisesta, mitoituksesta ja käytöstä.
Suositus on, että ovet ovat vähintään 400 mm suurinta jäteastiaa leveämmät su- juvan ja turvallisen tyhjennyksen vuoksi. Käytännössä 660 | astia vaatii 1 700 mm kulkuaukon (jäteastian leveys 1 275 + varaus 400 mm). Ovien tulisi olla tukevaraken- teiset, tarvittaessa metallivahvikkeiset ja varustettu aukipitolaittein. Liiketunnistimilla toimivat valot helpottavat jätetilassa asiointia.
Lukitut jätetilat varustetaan yleensä kaksoispesälukolla, joista toiseen lukkoon sopii jätehuoltoyrityksen käyttämä yleisavain. Jos kaksoispesälukon käyttö ei ole mahdol- lista, voidaan käyttää seinään upotettavaa avainsäiliötä, johon jätehuollon yleisavain sopii. Kunnallisissa jätehuoltomääräyksissä on tarkempia ohjeita ja määräyksiä jäte- tilojen lukituksesta.
Käsin siirrettävien jäteastioiden pitää olla helposti käytettävissä ja ne tulee voida ottaa tyhjennettäväksi siirtämättä muita astioita. Useimmin tyhjennettävät astiat on hyvä sijoittaa lähimmäksi oviaukkoa. Seinään voidaan kiinnittää törmäyslankku
TP/kesäkuu 2023/Rakennustieto Oy Rakennustietosäätiö RTS sr 2023
1700
1700
pitämään jäteastiat 100-150 mm etäisyydellä seinästä, jolloin kannet pysyvät auki pitelemättä. Jätteiden keräysvälineet, jotka eivät ole käsin siirrettävissä, sijoitetaan siten, että jäteauto pääsee esteettä tyhjentämään astiat.
Jätetilaan johtavan kulkuväylän tulee olla esteetön. Sen tulee olla vähintään 1 200 mm leveä, helposti havaittava, pinnaltaan tasainen, kova ja luistamaton. Ulkotilassa sijaitsevan kulkuväylän kaltevuus saa olla enintään viisi prosenttia. Jos kulkuväylällä on porras, sen yhteydessä on oltava luiska tai kiinteästi asennettu pyörätuolin ja pyö- rillä varustetun kävelytelineen käyttäjälle soveltuva henkilöiden nostoon tarkoitettu laite.
Jos jäteastioiden siirtoväylän kaltevuus ylittää 1:5 (12°), tulee kiinteistön haltijan huolehtia siitä, että siirtotyössä on käytettävissä siirtoa helpottavat laitteet. Jos jä- teastiat ovat lastauslaiturilla tai muulla korokkeella, on tyhjentämistä varten oltava nostolaite tai luiska, jonka kaltevuus ei ylitä 1:5. Jäteastioiden tyhjentäminen lastaus- laiturilta tai korokkeelta on merkittävä työturvallisuusriski. Jäteastioiden sijoittami- nen jyrkän kulkuväylän päähän ei ole suositeltavaa.","Uuden lain 127 §:n mukaan rakentamishankkeeseen ryhtyvän on huolehdittava kiinteistön jätehuollon edellyttämien tilojen ja rakennelmien järjestämisestä rakentamisen yhteydessä. Jätehuolto ei saa aiheuttaa haittaa terveydelle, turvallisuudelle eikä ympäristölle. Tämä edellyttää, että jätetilojen suunnittelussa ja sijoittamisessa otetaan huomioon uudet vaatimukset, jotka korostavat terveellisyyttä ja turvallisuutta.","127 § Jätehuolto"
"103638","18","6.6 Putkikeräysjärjestelmä","Putkikeräysjärjestelmään perustuva jätteenkeräys on käytössä asuinalueilla, joiden asemakaavassa, rakentamistapaohjeessa tai muussa suunnittelussa on todettu alueelle toteutettavan keskitetty jätteenkeräysjärjestelmä ja osoitettu paikat keräyspisteille. Asuinkerrostaloissa putkikeräysjärjestelmän keräyspiste on sijoitettu yleensä joko kiinteistölle tai sen välittömään läheisyyteen.
Putkikeräysjärjestelmässä jätteet imetään jätelajeittain kauempana sijaitsevalle koonta-asemalle. Jätetilan siivoukseen ja huoltoon tulee kiinnittää huomiota esimerkiksi järjestämällä tilaan viemäri ja vesipiste. Putkikeräysjärjestelmään soveltumattomille jätteille tarvitaan erillinen jätetila, jonka mitoituksessa noudatetaan tässä ohjeessa aiemmin esitettyjä ohjeita.","Uuden lain 127 §:n mukaan rakentamishankkeeseen ryhtyvän on huolehdittava kiinteistön jätehuollon edellyttämien tilojen ja rakennelmien järjestämisestä rakentamisen yhteydessä. Jätehuolto ei saa aiheuttaa haittaa terveydelle, turvallisuudelle eikä ympäristölle. Tämä tarkoittaa, että putkikeräysjärjestelmän suunnittelussa ja toteutuksessa on varmistettava, että jätehuolto täyttää nämä vaatimukset.","127 § Jätehuolto"
"103684","3","2.3 Suunnittelijoiden kelpoisuus","2.3 Suunnittelijoiden kelpoisuus
• MRL123 §
• MRA 48 §
Suunnittelijan koulutus ja kokemus yhdessä muodostavat suunnittelijan pätevyyden. Vaadittava kelpoisuus määräytyy suunnittelijan riittävästä pätevyydestä suhteessa kulloisenkin suunnittelutehtävän vaativuuteen. Suunnittelijoiden kelpoisuuden arvioimiseksi RakMKosassa A2esitetään suunnittelutehtävien luokitus vaativuuden mukaan ja kuhunkin luokkaan tarvittava suunnittelijan pätevyys. Kunnan rakennusvalvontaviranomaisen asia on arvioidasuunnittelijoiden kelpoisuus rakennuslupakohtaisesti rakennushankkeen laadun ja vaativuuden sekä ympäristön asettamat vaatimukset huomioon ottaen
• rakennussuunnittelijan kelpoisuus eli koulutus ja kokemus,
• erityissuunnittelijoiden kelpoisuus eli koulutus ja kokemus.
Korjaus- ja muutostyössä otetaan arvioinnissa lisäksi huomioon olemassa olevan rakennuksen asettamat lähtökohdat. Pääsuunnittelijan kelpoisuuden tulee hankkeessa olla vähintään samaa tasoa kuin hankkeen vaativimpaan suunnittelutehtävään tarvittava kelpoisuus.","Uuden lain 83 §:n mukaan suunnittelijan on osoitettava pätevyytensä tavanomaiseen, vaativaan, erittäin vaativaan ja poikkeuksellisen vaativaan suunnittelutehtävään ympäristöministeriön valtuuttaman toimijan antamalla todistuksella.

d.Viittaus uuteen lakiin:
83 § Suunnittelijoiden kelpoisuusvaatimukset","83 §"
"103684","3","Osa 3.2: Rakennushankkeen jätehuollon suunnittelu- ja ilmoitusvelvoite","Rakennushankkeeseen ryhtyvä on velvollinen rakentamista tai purkamista koskevassa lupahakemuksessa tai ilmoituksessa esittämään selvityksen rakennusjätteen määrästä, laadusta ja sen lajittelusta. Hakemuksessa tai ilmoituksessa ilmoitetaan erikseen terveydelle tai ympäristölle vaarallisesta rakennus- tai purkujätteestä ja sen käsittelystä. Purkamista edeltävässä selvityksessä kartoitetaan rakenteista syntyvät jätelajit, erityisesti vaaralliset jätteet, sekä tehdään karkea arvio syntyvistä jätemääristä lajikohtaisesti.","Uuden lain 16 §:n mukaan rakennusjätteen selvityksessä tulee ilmoittaa arviot myös rakennus- tai purkuhankkeessa syntyvien purkumateriaalien määristä. Purkumateriaali- ja rakennusjäteselvitys on päivitettävä rakennus- tai purkuhankkeen valmistuttua siten, että siitä käyvät ilmi tiedot rakennuspaikalta pois kuljetettujen rakennus- ja purkujätteiden määristä, toimituspaikoista ja käsittelystä. Lisäksi rakentamishankkeeseen ryhtyvän on huolehdittava, että purkumateriaali- ja rakennusjäteselvityksessä edellytetyt tiedot ilmoitetaan Suomen ympäristökeskuksen ylläpitämään tietokantaan.

d.Viittaus uuteen lakiin:
16 § Purkumateriaali- ja rakennusjäteselvitys","16 §"
"103684","3","","","",""
"10455","3","Metallirakenteinen ulkoseinä Mineraalivillaeriste","Metallirakenteinen ulkoseinä Mineraalivillaeriste
Kevytorsirunko
Mittakaava 1:20
RTYP301/RTUS303
Seinon pystyrangat liitetään yläpäästään teräsrunkoon
pystyliikkeet sallivilla kiinnikkeilla.
Seinän ja katon liittymäkohdassa höyrynsulun alla kuumo- sinkitty suojapelti. Höyrynsulku 200mm limittäin, sou- massa teippous.
Katon lämmöneristekerroksen yloosasta paineentasaus-
putkel esim. 50 2000 seinän ilmarakoon.","Uuden lain 32 §:n mukaan rakennuksen kantavien rakenteiden on oltava sellaiset, että ne palon sattuessa kestävät vähimmäisajan ottaen huomioon rakennuksen sortuminen, poistumisen turvaaminen, pelastustoiminta ja palon hallintaan saaminen. Tämä edellyttää, että höyrynsulun ja suojapellin paloturvallisuus on varmistettava ja dokumentoitava.","32 § Paloturvallisuus"
